,user_id,user_text,action,response_text,incomplete_action,parameters
24,U9Q3FND6E,Give me 2 works by Beethoven!,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
25,U9Q3FND6E,Hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
26,U9Q3FND6E,Give me 2 works by Beethoven,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
27,U9Q3FND6E,Yes thanks,works-by - yes,"Ok, tell me what",False,{}
28,U9Q3FND6E,Give me one work by Beethoven,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
29,U9Q3FND6E,Yes thanks,works-by - yes,"Ok, tell me what",False,{}
30,U9Q3FND6E,An instrument,works-by-instrument,Ok! Just tell me the instrument,True,"{'doremus-strictly': '', 'doremus-instrument': []}"
31,U9Q3FND6E,Violin,works-by-instrument,Perfect! Do you want to add something?,False,"{'doremus-instrument': ['svl'], 'doremus-strictly': ''}"
32,U9Q3FND6E,Give me one work by Beethoven,works-by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
33,U9Q3FND6E,Yes thanks,works-by - yes,"Ok, tell me what",False,{}
34,U9Q3FND6E,An instrument,works-by-instrument,Ok! Just tell me the instrument,True,"{'doremus-strictly': '', 'doremus-instrument': []}"
35,U9Q3FND6E,Violin,works-by-instrument,Perfect! Do you want to add something?,False,"{'doremus-instrument': ['svl'], 'doremus-strictly': ''}"
36,U9Q3FND6E,No its ok,works-by - no,,False,{}
37,U9Q3FND6E,Give me one work by Mozart,works-by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '4802a043-23bb-3b8d-a443-4a3bd22ccc63', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
38,U9Q3FND6E,Yes thanks,works-by - yes,"Ok, tell me what",False,{}
39,U9Q3FND6E,An instrument,works-by-instrument,Ok! Just tell me the instrument,True,"{'doremus-strictly': '', 'doremus-instrument': []}"
40,U9Q3FND6E,Violin,works-by-instrument,Perfect! Do you want to add something?,False,"{'doremus-instrument': ['svl'], 'doremus-strictly': ''}"
41,U9Q3FND6E,No its ok,works-by - no,,False,{}
42,U9Q3FND6E,Give me one work by Vivaldi,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': 'b34f92ab-ad86-361b-a8b8-5c3a4db784d0', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
43,U9Q3FND6E,Yes thanks,works-by - yes,"Ok, tell me what",False,{}
44,U9Q3FND6E,An instrument,works-by-instrument,Ok! Just tell me the instrument,True,"{'doremus-strictly': '', 'doremus-instrument': []}"
45,U9Q3FND6E,Violin,works-by-instrument,Perfect! Do you want to add something?,False,"{'doremus-instrument': ['svl'], 'doremus-strictly': ''}"
46,U9Q3FND6E,No its ok,works-by - no,,False,{}
47,U9Q3FND6E,Give me one work by Beethoven but just the one written for piano clarinet or violin,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': ['kpf', 'wcl', 'svl'], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
48,U9Q3FND6E,Give me one work by Beethoven but just the one written for piano clarinet or violin,works-by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': ['kpf', 'wcl', 'svl'], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
49,U9Q3FND6E,Give me one work by Beethoven but just the one written for piano clarinet and violin,works-by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': ['kpf', 'wcl', 'svl'], 'doremus-strictly': 'and', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
50,U9Q3FND6E,Give me one work by Beethoven but just the one written for piano clarinet or violin,works-by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': ['kpf', 'wcl', 'svl'], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
51,U9Q3FND6E,Give me one work by Beethoven but just the one written for piano clarinet or violin,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': ['kpf', 'wcl', 'svl'], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
52,U9Q3FND6E,Give me six works by Beethoven but just the ones written for piano clarinet and violin,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '6', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': ['kpf', 'wcl', 'svl'], 'doremus-strictly': 'and', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
53,U9Q3FND6E,Give me six works by Beethoven but just the ones written for piano clarinet and violin,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '6', 'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452', 'doremus-instrument': ['kpf', 'wcl', 'svl'], 'doremus-strictly': 'and', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
54,U9Q3FND6E,Tell me something about Vivaldi,discover-artist,,False,{'doremus-artist': 'b34f92ab-ad86-361b-a8b8-5c3a4db784d0'}
55,U9Q3FND6E,Tell me something about Beethoven,discover-artist,,False,{'doremus-artist': '6963af5e-b126-3d40-a84b-97e0b78f5452'}
56,U9Q3FND6E,Tell me something about Mozart,discover-artist,,False,{'doremus-artist': '4802a043-23bb-3b8d-a443-4a3bd22ccc63'}
57,U9Q3FND6E,hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
58,U9Q3FND6E,Find me the artists who wrote more arias,find-artist,,False,"{'number': '', 'doremus-instrument': [], 'date-period': '', 'geo-city': '', 'doremus-strictly': '', 'doremus-genre': 'ar'}"
59,U9Q3FND6E,Find me the artist who wrote more arias,find-artist,,False,"{'number': '', 'doremus-instrument': [], 'date-period': '', 'geo-city': '', 'doremus-strictly': '', 'doremus-genre': 'ar'}"
60,U9Q3FND6E,Hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
61,U9Q3FND6E,Find me the artist who wrote more arias,find-artist,,False,"{'number': '', 'doremus-instrument': [], 'date-period': '', 'geo-city': '', 'doremus-strictly': '', 'doremus-genre': 'ar'}"
62,U9Q3FND6E,Find me the artist who wrote more arias,find-artist,,False,"{'number': '', 'doremus-instrument': [], 'date-period': '', 'geo-city': '', 'doremus-strictly': '', 'doremus-genre': 'ar'}"
63,U9Q3FND6E,Find me the artist who wrote more arias,find-artist,,False,"{'number': '', 'doremus-instrument': [], 'date-period': '', 'geo-city': '', 'doremus-strictly': '', 'doremus-genre': 'ar'}"
64,U9Q3FND6E,Find me one artist born in Paris,find-artist,,False,"{'number': '1', 'doremus-instrument': [], 'date-period': '', 'geo-city': 'Paris', 'doremus-strictly': '', 'doremus-genre': ''}"
65,U9Q3FND6E,Find me one artist born in Palermo,find-artist,,False,"{'number': '1', 'doremus-instrument': [], 'date-period': '', 'geo-city': 'Palermo', 'doremus-strictly': '', 'doremus-genre': ''}"
66,U9Q3FND6E,Find me one artist born in Caltanissetta,find-artist,,False,"{'number': '1', 'doremus-instrument': [], 'date-period': '', 'geo-city': '', 'doremus-strictly': '', 'doremus-genre': ''}"
67,U9Q3FND6E,Find me on artist born in Enna,find-artist,,False,"{'number': '', 'doremus-instrument': [], 'date-period': '', 'geo-city': '', 'doremus-strictly': '', 'doremus-genre': ''}"
68,U9Q3FND6E,Find me one artist born in Catania,find-artist,,False,"{'number': '1', 'doremus-instrument': [], 'date-period': '', 'geo-city': 'Catania', 'doremus-strictly': '', 'doremus-genre': ''}"
69,U9Q3FND6E,find me an artist born in Nice,find-artist,,False,"{'number': '', 'doremus-instrument': [], 'date-period': '', 'geo-city': 'Nice', 'doremus-strictly': '', 'doremus-genre': ''}"
70,U9Q3FND6E,Find me an artist born in Venice,find-artist,,False,"{'number': '', 'doremus-instrument': [], 'date-period': '', 'geo-city': 'Venice', 'doremus-strictly': '', 'doremus-genre': ''}"
71,U9Q3FND6E,find me one artist born in Paris,find-artist,,False,"{'number': '1', 'doremus-instrument': [], 'date-period': '', 'geo-city': 'Paris', 'doremus-strictly': '', 'doremus-genre': ''}"
72,U9Q3FND6E,Are there any events in these days?,find-performance,In which period?,True,"{'date-period': '', 'geo-city': '', 'number': ''}"
73,U9Q3FND6E,Are there any events in the next month?,find-performance,,False,"{'date-period': '2019-03-01/2019-03-31', 'geo-city': '', 'number': ''}"
74,U9Q3FND6E,Are there any events in the 26th of June?,find-performance,,False,"{'date-period': '2019-06-01/2019-06-30', 'geo-city': '', 'number': ''}"
75,U9Q3FND6E,Are there any events on June 26?,find-performance,,False,"{'date-period': '2019-06-01/2019-06-30', 'geo-city': '', 'number': ''}"
76,U9Q3FND6E,Are there any events in the 26th of June?,find-performance,,False,"{'date-period': '2019-06-01/2019-06-30', 'geo-city': '', 'number': ''}"
77,U9Q3FND6E,are there any events in Lyon?,find-performance,In which period?,True,"{'date-period': '', 'geo-city': 'Lyon', 'number': ''}"
78,U9Q3FND6E,next month,find-performance,,False,"{'date-period': '2019-03-01/2019-03-31', 'geo-city': 'Lyon', 'number': ''}"
79,U9Q3FND6E,are there any events in London next week?=,find-performance,,False,"{'date-period': '2019-02-04/2019-02-10', 'geo-city': 'London', 'number': ''}"
80,U9Q3FND6E,Are there any events in Paris?,find-performance,When?,True,"{'date-period': '', 'geo-city': 'Paris', 'number': ''}"
81,U9Q3FND6E,Next week!,find-performance,,False,"{'date-period': '2019-02-04/2019-02-10', 'geo-city': 'Paris', 'number': ''}"
82,U9Q3FND6E,Find me 2 events in Paris?,find-performance,When?,True,"{'date-period': '', 'geo-city': 'Paris', 'number': '2'}"
83,U9Q3FND6E,Next week,find-performance,,False,"{'date-period': '2019-02-04/2019-02-10', 'geo-city': 'Paris', 'number': '2'}"
84,U9Q3FND6E,Find me 2 events in Paris this week?,find-performance,,False,"{'date-period': '2019-01-28/2019-02-03', 'geo-city': 'Paris', 'number': '2'}"
85,U9Q3FND6E,Find me 2 performances between 25/06/2018 and 28/06/2018,find-performance,In which period?,True,"{'date-period': '', 'geo-city': '', 'number': '2'}"
86,U9Q3FND6E,Find me 2 performances between july 25 and july 28,find-performance,,False,"{'date-period': '2019-07-25/2019-07-28', 'geo-city': '', 'number': '2'}"
87,U9Q3FND6E,Talk me about Jonathan Dove,discover-artist,,False,{'doremus-artist': 'b16c9456-783a-3cb1-a629-a1a4d7e54a67'}
88,U9Q3FND6E,Find me 2 performances between july 25 and july 28,find-performance,,False,"{'date-period': '2019-07-01/2019-07-31', 'geo-city': '', 'number': '2'}"
89,U9Q3FND6E,Find me 2 performances between july 25 and july 28,find-performance,,False,"{'date-period': '2019-07-01/2019-07-31', 'geo-city': '', 'number': '2'}"
90,U9Q3FND6E,Talk me about Rachmaninov,discover-artist,,False,{'doremus-artist': 'fdf137f3-2f21-3c74-b039-3c7c9dedac05'}
91,U9Q3FND6E,Talk me about Rachmaninof,discover-artist,Ok! Who is the artist?,True,{'doremus-artist': ''}
92,U9Q3FND6E,Talk me about Rachmaninoff,discover-artist,,False,{'doremus-artist': 'fdf137f3-2f21-3c74-b039-3c7c9dedac05'}
93,U9Q3FND6E,Talk me about Rachmaninov,discover-artist,,False,{'doremus-artist': 'fdf137f3-2f21-3c74-b039-3c7c9dedac05'}
94,U9Q3FND6E,Talk me about Rachmaninov,discover-artist,,False,{'doremus-artist': 'fdf137f3-2f21-3c74-b039-3c7c9dedac05'}
95,U9Q3FND6E,Talk me about Rachmaninoff,discover-artist,,False,{'doremus-artist': 'fdf137f3-2f21-3c74-b039-3c7c9dedac05'}
96,U9Q3FND6E,Talk me about Racmaninov,discover-artist,Which artist?,True,{'doremus-artist': ''}
97,U9Q3FND6E,Talk me about Racmaninov,discover-artist,,False,{'doremus-artist': '473395b0-857a-36bf-897b-77c37016336f'}
98,U9Q3FND6E,Talk me about Rachmaninoff,discover-artist,,False,{'doremus-artist': 'fdf137f3-2f21-3c74-b039-3c7c9dedac05'}
99,U9Q3FND6E,Talk me about Racmaninoff,discover-artist,Can you tell me the name of the artist?,True,{'doremus-artist': ''}
100,U9Q3FND6E,Talk me about Racmaninof,discover-artist,,False,{'doremus-artist': '473395b0-857a-36bf-897b-77c37016336f'}
101,U9Q3FND6E,Talk me about Racmaninof,discover-artist,Ok! Who is the artist?,True,{'doremus-artist': ''}
102,U9Q3FND6E,Talk me about Racmaninof,discover-artist,,False,{'doremus-artist': '473395b0-857a-36bf-897b-77c37016336f'}
103,U9Q3FND6E,Talk me about Rachmaninov,discover-artist,,False,{'doremus-artist': 'fdf137f3-2f21-3c74-b039-3c7c9dedac05'}
104,U9Q3FND6E,now give me 2 of his works,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': 'fdf137f3-2f21-3c74-b039-3c7c9dedac05', 'date-period': ''}"
105,U9Q3FND6E,yes!,works-by - yes,"Ok, tell me what",False,{}
106,U9Q3FND6E,instrument,works-by-instrument,Ok! Just tell me the instrument,True,"{'doremus-strictly': '', 'doremus-instrument': []}"
107,U9Q3FND6E,only works for clarinet,works-by-instrument,Perfect! Do you want to add something?,False,"{'doremus-strictly': '', 'doremus-instrument': ['wcl']}"
108,U9Q3FND6E,no,works-by - no,,False,{}
109,U9Q3FND6E,Talk me about Rachmaninov,discover-artist,,False,{'doremus-artist': 'fdf137f3-2f21-3c74-b039-3c7c9dedac05'}
110,U9Q3FND6E,now give me 2 of his works,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': 'fdf137f3-2f21-3c74-b039-3c7c9dedac05', 'date-period': ''}"
111,U9Q3FND6E,yes the instrument,works-by-instrument,Ok! Just tell me the instrument,True,"{'doremus-strictly': '', 'doremus-instrument': []}"
112,U9Q3FND6E,clarinet,works-by-instrument,Perfect! Do you want to add something?,False,"{'doremus-instrument': ['wcl'], 'doremus-strictly': ''}"
113,U9Q3FND6E,no,works-by - no,,False,{}
114,U9Q3FND6E,Talk me about Rachmaninov,discover-artist,,False,{'doremus-artist': 'fdf137f3-2f21-3c74-b039-3c7c9dedac05'}
115,U9Q3FND6E,now give me 2 of his works,works-by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': 'fdf137f3-2f21-3c74-b039-3c7c9dedac05', 'date-period': ''}"
116,U9Q3FND6E,no,works-by - no,,False,{}
117,U9Q3FND6E,Give me 2 works by Piccinini,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '02e70b0b-b780-3c9f-9b5f-176721c30758', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
118,U9Q3FND6E,no,works-by - no,,False,{}
119,U9Q3FND6E,Give me 2 works by Niccolo Piccinini,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '02e70b0b-b780-3c9f-9b5f-176721c30758', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '02e70b0b-b780-3c9f-9b5f-176721c30758', 'date-period': ''}"
120,U9Q3FND6E,Give me 2 works by Niccolo Piccinini,works-by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '02e70b0b-b780-3c9f-9b5f-176721c30758', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
121,U9Q3FND6E,Give me 2 works by Niccolo Piccinini,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '02e70b0b-b780-3c9f-9b5f-176721c30758', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
122,U9Q3FND6E,no,works-by - no,,False,{}
123,U9Q3FND6E,Give me 2 works by Latilla,works-by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': 'f9bcc9f5-da6c-3b49-8268-5d8ee42fbb2f', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
124,U9Q3FND6E,no,works-by - no,,False,{}
125,U9Q3FND6E,Give me 2 works by Debussi,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
126,U9Q3FND6E,Give me 2 works by Debusy,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': '', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
127,U9Q3FND6E,no,works-by - no,,False,{}
128,U9Q3FND6E,Give me 2 works by debussy,works-by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': 'bcf39e82-e208-3049-b550-1feaae6071a6', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
129,U9Q3FND6E,Give me 2 works by Debussy,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': 'bcf39e82-e208-3049-b550-1feaae6071a6', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
130,U9Q3FND6E,yes the composition period!,works-by-years,Ok! What's the composition period?,True,{'date-period': ''}
131,U9Q3FND6E,between 1890 and 1900,works-by-years,Perfect! Do you want to add something?,False,{'date-period': '1890-01-01/1900-12-31'}
132,U9Q3FND6E,no,works-by - no,,False,{}
133,U9Q3FND6E,Give me ten works by Debussy,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '10', 'doremus-artist': 'bcf39e82-e208-3049-b550-1feaae6071a6', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
134,U9Q3FND6E,yes,works-by - yes,"Ok, tell me what",False,{}
135,U9Q3FND6E,the composition period,works-by-years,All right! Tell me the composition period,True,{'date-period': ''}
136,U9Q3FND6E,between 1890 and 1900,works-by-years,Perfect! Do you want to add something?,False,{'date-period': '1890-01-01/1900-12-31'}
137,U9Q3FND6E,nope,works-by - no,,False,{}
138,U9Q3FND6E,Give me 2 works by Debussy,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '2', 'doremus-artist': 'bcf39e82-e208-3049-b550-1feaae6071a6', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
139,U9Q3FND6E,Give me the works by Debussy,works-by,"No problem! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '', 'doremus-artist': 'bcf39e82-e208-3049-b550-1feaae6071a6', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
140,U9Q3FND6E,composed between 1890 and 1900,works-by-years,Perfect! Do you want to add something?,False,{'date-period': '1890-01-01/1900-12-31'}
141,U9Q3FND6E,yes,works-by - yes,"Ok, tell me what",False,{}
142,U9Q3FND6E,the genre,works-by-genre,"Ok! Just tell me the genre, please",True,{'doremus-genre': ''}
143,U9Q3FND6E,Give me the works by Debussy,works-by-genre,"Ok! Just tell me the genre, please",True,{'doremus-genre': ''}
144,U9Q3FND6E,Give me the works by DebussyGive me the works by DebussyGive me the works by DebussyGive me the works by Debussy,works-by-genre,"Ok! Just tell me the genre, please",True,{'doremus-genre': ''}
145,U9Q3FND6E,hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
146,U9Q3FND6E,hi,hello,Hi! Everyday I try to learn as much as possible about music. Try me if you don't believe it!,False,{}
147,U9Q3FND6E,Give me the works by Debussy,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '', 'doremus-artist': 'bcf39e82-e208-3049-b550-1feaae6071a6', 'doremus-instrument': [], 'doremus-strictly': '', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': ''}"
148,U9Q3FND6E,Give me the works by Debussy composed between 1890 and 1900 of genre musique de chambre,works-by,"Ok! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1900', 'doremus-artist': 'bcf39e82-e208-3049-b550-1feaae6071a6', 'doremus-instrument': [], 'doremus-strictly': 'and', 'doremus-genre': '', 'doremus-artist-prev': '', 'date-period': '1890-01-01/1890-12-31'}"
149,U9Q3FND6E,Give me the works by Debussy composed between 1890 and 1900 of genre melodie,works-by,"Sure! Do you want to add some filters? Like the artist, instruments, genre or composition period.",False,"{'number': '1900', 'doremus-artist': 'bcf39e82-e208-3049-b550-1feaae6071a6', 'doremus-instrument': [], 'doremus-strictly': 'and', 'doremus-genre': 'mld', 'doremus-artist-prev': '', 'date-period': '1890-01-01/1890-12-31'}"
